pid,top_tens
1396,
5274,
487,
2748,
4427,
4252,
2712,
6212,
5696,
4354,
3360,
3760,
1878,
2029,
4208,
3653,
3474,
3955,
6035,
5408,
1788,
1589,
2652,
8808,
5178,
3611,
6760,
5657,
834,
5420,
8341,
3219,
3764,
1551,
1402,
8703,
4181,
