time,rank,Maps_uid,Maps_number,Players_pid,Players_name
00:08.61,6,BvPMezwTNVXGEHwNYmDZ72XnoSl,17,4183,ヅČƏβ/Ļӛ Ǧ工ĝăÑтĒ乌ҨǜҾSσĈίαL
00:08.63,7,BvPMezwTNVXGEHwNYmDZ72XnoSl,17,2620,bPOULE | Le Grand Dadet
00:08.64,8,BvPMezwTNVXGEHwNYmDZ72XnoSl,17,665,»Luffy
00:08.65,10,BvPMezwTNVXGEHwNYmDZ72XnoSl,17,120,мѕι mo
00:07.31,1,FdrW0dZPFsszEPs_WJppKRu5NYd,18,1687,dedushken?!
00:07.34,2,FdrW0dZPFsszEPs_WJppKRu5NYd,18,35,҂ғฟ๏〣ᄽDraggy.ᄿ
00:07.35,3,FdrW0dZPFsszEPs_WJppKRu5NYd,18,2873,웃laser웃
00:07.37,4,FdrW0dZPFsszEPs_WJppKRu5NYd,18,77,hr from pinely
00:07.37,5,FdrW0dZPFsszEPs_WJppKRu5NYd,18,2468,_
00:07.40,6,FdrW0dZPFsszEPs_WJppKRu5NYd,18,4749,theoria
00:07.43,7,FdrW0dZPFsszEPs_WJppKRu5NYd,18,3704,redank
00:07.44,8,FdrW0dZPFsszEPs_WJppKRu5NYd,18,120,мѕι mo
00:07.44,9,FdrW0dZPFsszEPs_WJppKRu5NYd,18,8344,〔 ғεттίс 〕
00:07.45,10,FdrW0dZPFsszEPs_WJppKRu5NYd,18,957,〔 niati 〕
00:08.67,1,iVqMP7yDxaruTLkaG5Hm9r_UtQ9,19,1174,Нтм.Nad!
00:08.68,2,iVqMP7yDxaruTLkaG5Hm9r_UtQ9,19,542,ѕĸγ»МіǤ«ғฟ๏
00:08.68,3,iVqMP7yDxaruTLkaG5Hm9r_UtQ9,19,987,Law¬rowy
00:08.69,4,iVqMP7yDxaruTLkaG5Hm9r_UtQ9,19,35,҂ғฟ๏〣ᄽDraggy.ᄿ
00:08.69,5,iVqMP7yDxaruTLkaG5Hm9r_UtQ9,19,957,〔 niati 〕
00:08.69,6,iVqMP7yDxaruTLkaG5Hm9r_UtQ9,19,144,הѕс¬Ғеяяу | мр
00:08.69,7,iVqMP7yDxaruTLkaG5Hm9r_UtQ9,19,390,wikos2
00:08.71,8,iVqMP7yDxaruTLkaG5Hm9r_UtQ9,19,1345,ңя ױ νιॅρєχ.
00:08.71,9,iVqMP7yDxaruTLkaG5Hm9r_UtQ9,19,4183,ヅČƏβ/Ļӛ Ǧ工ĝăÑтĒ乌ҨǜҾSσĈίαL
00:08.72,10,iVqMP7yDxaruTLkaG5Hm9r_UtQ9,19,450,ImminentOmelet58
00:06.93,1,pepz5jlphv54zkQtlPVI4bT8ht8,20,542,ѕĸγ»МіǤ«ғฟ๏
00:02.76,3,CWRRVe5w__beKqr6rdOPceCS3Jl,1,4183,ヅČƏβ/Ļӛ Ǧ工ĝăÑтĒ乌ҨǜҾSσĈίαL
00:06.97,2,pepz5jlphv54zkQtlPVI4bT8ht8,20,4183,ヅČƏβ/Ļӛ Ǧ工ĝăÑтĒ乌ҨǜҾSσĈίαL
00:07.01,3,pepz5jlphv54zkQtlPVI4bT8ht8,20,1415,¬ѕя.ѕтैаҳ
00:07.05,4,pepz5jlphv54zkQtlPVI4bT8ht8,20,975,ѕκγ. flex
00:07.06,5,pepz5jlphv54zkQtlPVI4bT8ht8,20,433,Ŀĸя ¬ Buch
00:07.11,6,pepz5jlphv54zkQtlPVI4bT8ht8,20,57,i
00:07.11,7,pepz5jlphv54zkQtlPVI4bT8ht8,20,2549,Ісегॆॅ็
00:07.15,8,pepz5jlphv54zkQtlPVI4bT8ht8,20,761,ᄀT.Dire!
00:07.18,9,pepz5jlphv54zkQtlPVI4bT8ht8,20,1463,קคยא
00:07.20,10,pepz5jlphv54zkQtlPVI4bT8ht8,20,1780,メŠҝĬĹŁε〒
00:15.53,1,ecN7opVgiYew3yaDH3FVTa0nrR,21,542,ѕĸγ»МіǤ«ғฟ๏
00:15.68,2,ecN7opVgiYew3yaDH3FVTa0nrR,21,336,»ғฟ๏« Ŀιиκ.* Law
00:15.70,3,ecN7opVgiYew3yaDH3FVTa0nrR,21,975,ѕκγ. flex
00:15.90,4,ecN7opVgiYew3yaDH3FVTa0nrR,21,608,a
00:15.93,5,ecN7opVgiYew3yaDH3FVTa0nrR,21,4183,ヅČƏβ/Ļӛ Ǧ工ĝăÑтĒ乌ҨǜҾSσĈίαL
00:16.15,6,ecN7opVgiYew3yaDH3FVTa0nrR,21,3704,redank
00:16.30,7,ecN7opVgiYew3yaDH3FVTa0nrR,21,181,ғฟ๏.Logic'
00:16.31,8,ecN7opVgiYew3yaDH3FVTa0nrR,21,1295,Blessed.
00:16.32,9,ecN7opVgiYew3yaDH3FVTa0nrR,21,16,reden°ॆ८॒°ॅlevon
00:16.43,10,ecN7opVgiYew3yaDH3FVTa0nrR,21,450,ImminentOmelet58
00:20.26,1,JwisRHiOoiqadMd5oF9wVPaiY_d,22,4183,ヅČƏβ/Ļӛ Ǧ工ĝăÑтĒ乌ҨǜҾSσĈίαL
00:20.65,2,JwisRHiOoiqadMd5oF9wVPaiY_d,22,336,»ғฟ๏« Ŀιиκ.* Law
00:20.85,3,JwisRHiOoiqadMd5oF9wVPaiY_d,22,450,ImminentOmelet58
00:21.36,4,JwisRHiOoiqadMd5oF9wVPaiY_d,22,3955,Nem #jome
00:21.42,5,JwisRHiOoiqadMd5oF9wVPaiY_d,22,4354,「ιиғяα」
00:21.57,6,JwisRHiOoiqadMd5oF9wVPaiY_d,22,2011,ि७
00:21.77,7,JwisRHiOoiqadMd5oF9wVPaiY_d,22,542,ѕĸγ»МіǤ«ғฟ๏
00:22.09,8,JwisRHiOoiqadMd5oF9wVPaiY_d,22,4749,theoria
00:22.23,9,JwisRHiOoiqadMd5oF9wVPaiY_d,22,120,мѕι mo
00:22.36,10,JwisRHiOoiqadMd5oF9wVPaiY_d,22,1078,FALCON
00:09.71,1,ymjn3ePRwdoCMLLBF4NGz0NHB61,23,3704,redank
00:09.76,2,ymjn3ePRwdoCMLLBF4NGz0NHB61,23,542,ѕĸγ»МіǤ«ғฟ๏
