time,rank,Maps_uid,Maps_number,Players_pid,Players_name
00:16.90,1,_P2uanAo9i9IHx0TjfkPBIcuiQi,87,3215,syz « т³
00:16.98,2,_P2uanAo9i9IHx0TjfkPBIcuiQi,87,1677,Eddy!
00:17.01,3,_P2uanAo9i9IHx0TjfkPBIcuiQi,87,542,ѕĸγ»МіǤ«ғฟ๏
00:17.21,4,_P2uanAo9i9IHx0TjfkPBIcuiQi,87,835,Ŀĸя ¬Dvorky* ॢ
00:17.55,5,_P2uanAo9i9IHx0TjfkPBIcuiQi,87,120,мѕι mo
00:17.55,6,_P2uanAo9i9IHx0TjfkPBIcuiQi,87,3704,redank
00:17.98,7,_P2uanAo9i9IHx0TjfkPBIcuiQi,87,18,ѕκγ | Ζοםωιи
00:18.32,8,_P2uanAo9i9IHx0TjfkPBIcuiQi,87,101,Hèिést
00:18.44,9,_P2uanAo9i9IHx0TjfkPBIcuiQi,87,1950,// fey « т³ //
00:18.53,10,_P2uanAo9i9IHx0TjfkPBIcuiQi,87,1047,ηG²¹ EЯic 〤
00:15.80,1,1xELvS3ubxjMRw4Cn9oGMFah8We,88,2514,shen
00:15.82,2,1xELvS3ubxjMRw4Cn9oGMFah8We,88,5346,SnakePhil
00:15.87,3,1xELvS3ubxjMRw4Cn9oGMFah8We,88,4183,ヅČƏβ/Ļӛ Ǧ工ĝăÑтĒ乌ҨǜҾSσĈίαL
00:15.94,4,1xELvS3ubxjMRw4Cn9oGMFah8We,88,120,мѕι mo
00:15.97,5,1xELvS3ubxjMRw4Cn9oGMFah8We,88,552,Fmc
00:16.02,6,1xELvS3ubxjMRw4Cn9oGMFah8We,88,494,kamel
00:16.13,8,1xELvS3ubxjMRw4Cn9oGMFah8We,88,300,Tres « т³
00:16.16,9,1xELvS3ubxjMRw4Cn9oGMFah8We,88,3704,redank
00:16.21,10,1xELvS3ubxjMRw4Cn9oGMFah8We,88,450,ImminentOmelet58
00:17.83,1,E0KxRZi53Wt287_VnWFT81x8r71,89,1878,Bambon
00:17.94,2,E0KxRZi53Wt287_VnWFT81x8r71,89,4354,「ιиғяα」
00:18.15,3,E0KxRZi53Wt287_VnWFT81x8r71,89,450,ImminentOmelet58
00:18.36,4,E0KxRZi53Wt287_VnWFT81x8r71,89,542,ѕĸγ»МіǤ«ғฟ๏
00:18.44,5,E0KxRZi53Wt287_VnWFT81x8r71,89,187,хеяох.
00:18.95,6,E0KxRZi53Wt287_VnWFT81x8r71,89,1589,ti
00:19.15,7,E0KxRZi53Wt287_VnWFT81x8r71,89,390,wikos2
00:19.25,8,E0KxRZi53Wt287_VnWFT81x8r71,89,1324,reasᄓnn
00:19.36,9,E0KxRZi53Wt287_VnWFT81x8r71,89,608,a
00:19.58,10,E0KxRZi53Wt287_VnWFT81x8r71,89,18,ѕκγ | Ζοםωιи
00:16.98,1,7LnqwWuuvqdxl_LEYSdyy5pDVc,90,336,»ғฟ๏« Ŀιиκ.* Law
00:22.85,2,7LnqwWuuvqdxl_LEYSdyy5pDVc,90,608,a
00:22.94,3,7LnqwWuuvqdxl_LEYSdyy5pDVc,90,450,ImminentOmelet58
00:24.20,4,7LnqwWuuvqdxl_LEYSdyy5pDVc,90,1042,×saiphyy×
00:25.00,5,7LnqwWuuvqdxl_LEYSdyy5pDVc,90,35,҂ғฟ๏〣ᄽDraggy.ᄿ
00:26.88,6,7LnqwWuuvqdxl_LEYSdyy5pDVc,90,390,wikos2
00:28.25,7,7LnqwWuuvqdxl_LEYSdyy5pDVc,90,1324,reasᄓnn
00:28.52,8,7LnqwWuuvqdxl_LEYSdyy5pDVc,90,3704,redank
00:28.82,9,7LnqwWuuvqdxl_LEYSdyy5pDVc,90,542,ѕĸγ»МіǤ«ғฟ๏
00:29.18,10,7LnqwWuuvqdxl_LEYSdyy5pDVc,90,4183,ヅČƏβ/Ļӛ Ǧ工ĝăÑтĒ乌ҨǜҾSσĈίαL
00:05.73,2,3CMwUdiAfd_ri2VdNVkUN05Uvkj,9,6694,LaRigueur
00:08.34,1,kGEn8i1dlUxDVqQYFgcgqMC5sL,91,608,a
00:08.38,2,kGEn8i1dlUxDVqQYFgcgqMC5sL,91,2206,Luukasa123
00:08.38,3,kGEn8i1dlUxDVqQYFgcgqMC5sL,91,2114,凹 faiby ?
00:08.41,4,kGEn8i1dlUxDVqQYFgcgqMC5sL,91,542,ѕĸγ»МіǤ«ғฟ๏
00:08.43,5,kGEn8i1dlUxDVqQYFgcgqMC5sL,91,777,Jere
00:08.50,6,kGEn8i1dlUxDVqQYFgcgqMC5sL,91,120,мѕι mo
00:08.50,7,kGEn8i1dlUxDVqQYFgcgqMC5sL,91,93,ғฟ๏〢alexx. infector
00:08.51,8,kGEn8i1dlUxDVqQYFgcgqMC5sL,91,3341,bazrzokh
00:08.52,9,kGEn8i1dlUxDVqQYFgcgqMC5sL,91,4183,ヅČƏβ/Ļӛ Ǧ工ĝăÑтĒ乌ҨǜҾSσĈίαL
00:08.53,10,kGEn8i1dlUxDVqQYFgcgqMC5sL,91,3704,redank
00:10.87,1,P5xga7az0E4BRbXzQ4WahYNbBR2,92,542,ѕĸγ»МіǤ«ғฟ๏
00:10.90,2,P5xga7az0E4BRbXzQ4WahYNbBR2,92,101,Hèिést
00:10.91,3,P5xga7az0E4BRbXzQ4WahYNbBR2,92,2206,Luukasa123
00:10.92,4,P5xga7az0E4BRbXzQ4WahYNbBR2,92,187,хеяох.
00:10.92,5,P5xga7az0E4BRbXzQ4WahYNbBR2,92,1174,Нтм.Nad!
00:10.95,6,P5xga7az0E4BRbXzQ4WahYNbBR2,92,4183,ヅČƏβ/Ļӛ Ǧ工ĝăÑтĒ乌ҨǜҾSσĈίαL
00:10.96,7,P5xga7az0E4BRbXzQ4WahYNbBR2,92,2904,NoPro»Skyer03
00:10.99,8,P5xga7az0E4BRbXzQ4WahYNbBR2,92,353,ғฟ๏.Drarker.Law
00:10.99,9,P5xga7az0E4BRbXzQ4WahYNbBR2,92,975,ѕκγ. flex
00:11.00,10,P5xga7az0E4BRbXzQ4WahYNbBR2,92,1798,byoš
00:03.84,1,Od1I7NYrBguy6XHcxVt9Mw699uj,93,101,Hèिést
00:03.84,2,Od1I7NYrBguy6XHcxVt9Mw699uj,93,187,хеяох.
00:03.84,3,Od1I7NYrBguy6XHcxVt9Mw699uj,93,336,»ғฟ๏« Ŀιиκ.* Law
00:03.84,4,Od1I7NYrBguy6XHcxVt9Mw699uj,93,542,ѕĸγ»МіǤ«ғฟ๏
00:03.84,5,Od1I7NYrBguy6XHcxVt9Mw699uj,93,4183,ヅČƏβ/Ļӛ Ǧ工ĝăÑтĒ乌ҨǜҾSσĈίαL
00:03.85,6,Od1I7NYrBguy6XHcxVt9Mw699uj,93,57,i
00:03.85,7,Od1I7NYrBguy6XHcxVt9Mw699uj,93,353,ғฟ๏.Drarker.Law
00:03.85,8,Od1I7NYrBguy6XHcxVt9Mw699uj,93,1977," ғฟ๏, LeG | Plast"
00:03.85,9,Od1I7NYrBguy6XHcxVt9Mw699uj,93,450,ImminentOmelet58
00:03.85,10,Od1I7NYrBguy6XHcxVt9Mw699uj,93,1013,Louffy.
00:10.82,1,eswMFsg9leqZcgXReBR91VO7CMh,94,8415,िα๓² » уσυנιॅ
00:10.84,2,eswMFsg9leqZcgXReBR91VO7CMh,94,761,ᄀT.Dire!
00:10.85,3,eswMFsg9leqZcgXReBR91VO7CMh,94,1013,Louffy.
00:10.85,4,eswMFsg9leqZcgXReBR91VO7CMh,94,7494,racehans.STIHL<3
00:10.86,5,eswMFsg9leqZcgXReBR91VO7CMh,94,542,ѕĸγ»МіǤ«ғฟ๏
00:10.86,6,eswMFsg9leqZcgXReBR91VO7CMh,94,5796,шгн*jMel ツ
00:10.87,7,eswMFsg9leqZcgXReBR91VO7CMh,94,3704,redank
00:10.87,8,eswMFsg9leqZcgXReBR91VO7CMh,94,502,ĊĦ»nemo
00:10.88,9,eswMFsg9leqZcgXReBR91VO7CMh,94,384,ғฟ๏.g
00:10.88,10,eswMFsg9leqZcgXReBR91VO7CMh,94,5463,pastagrows
00:06.93,1,Y0CTD0TKbQiGKr_EkgBihz2R8q4,95,1324,reasᄓnn
00:06.93,2,Y0CTD0TKbQiGKr_EkgBihz2R8q4,95,2983,ミ Bullete ミ
00:07.00,3,Y0CTD0TKbQiGKr_EkgBihz2R8q4,95,5775,MrFunnyFun_
00:07.04,4,Y0CTD0TKbQiGKr_EkgBihz2R8q4,95,5657,๓ไ Pseudodragon | CCC
00:07.06,5,Y0CTD0TKbQiGKr_EkgBihz2R8q4,95,4003,richbar 〢ᄂᄆᄂ
00:07.07,6,Y0CTD0TKbQiGKr_EkgBihz2R8q4,95,2919,r4' « т³
00:07.09,7,Y0CTD0TKbQiGKr_EkgBihz2R8q4,95,1909,Bob
00:07.11,8,Y0CTD0TKbQiGKr_EkgBihz2R8q4,95,1396,Lemon :) ᄓ boosт³
00:07.12,9,Y0CTD0TKbQiGKr_EkgBihz2R8q4,95,6881,astrak0re
00:07.99,10,Y0CTD0TKbQiGKr_EkgBihz2R8q4,95,800,»Ятλ«wally²
00:11.67,1,ll9ftH7t2Yn_TsfItXqz7EdMfD0,96,120,мѕι mo
00:11.91,2,ll9ftH7t2Yn_TsfItXqz7EdMfD0,96,336,»ғฟ๏« Ŀιиκ.* Law
00:12.23,3,ll9ftH7t2Yn_TsfItXqz7EdMfD0,96,187,хеяох.
00:12.34,4,ll9ftH7t2Yn_TsfItXqz7EdMfD0,96,608,a
00:12.37,5,ll9ftH7t2Yn_TsfItXqz7EdMfD0,96,3704,redank
00:12.40,6,ll9ftH7t2Yn_TsfItXqz7EdMfD0,96,542,ѕĸγ»МіǤ«ғฟ๏
00:12.43,7,ll9ftH7t2Yn_TsfItXqz7EdMfD0,96,2904,NoPro»Skyer03
00:12.45,8,ll9ftH7t2Yn_TsfItXqz7EdMfD0,96,1798,byoš
00:12.45,9,ll9ftH7t2Yn_TsfItXqz7EdMfD0,96,1422,TCAero
00:12.48,10,ll9ftH7t2Yn_TsfItXqz7EdMfD0,96,957,〔 niati 〕
00:06.16,1,yB4kKNQOz9NZSI88ObBEkWxXzMj,97,9362,ıqweqwe
00:07.59,2,yB4kKNQOz9NZSI88ObBEkWxXzMj,97,5408,Σα¹²мακσ您
00:07.60,3,yB4kKNQOz9NZSI88ObBEkWxXzMj,97,1977," ғฟ๏, LeG | Plast"
00:07.62,4,yB4kKNQOz9NZSI88ObBEkWxXzMj,97,120,мѕι mo
00:07.62,5,yB4kKNQOz9NZSI88ObBEkWxXzMj,97,3704,redank
00:07.62,6,yB4kKNQOz9NZSI88ObBEkWxXzMj,97,2206,Luukasa123
00:07.62,7,yB4kKNQOz9NZSI88ObBEkWxXzMj,97,4839,Law*Trick.шгн
00:07.63,8,yB4kKNQOz9NZSI88ObBEkWxXzMj,97,542,ѕĸγ»МіǤ«ғฟ๏
00:07.64,9,yB4kKNQOz9NZSI88ObBEkWxXzMj,97,1788,Samurai
00:07.65,10,yB4kKNQOz9NZSI88ObBEkWxXzMj,97,1589,ti
00:09.99,1,bQwJE2BmrlurnIihNdeNC0uUJW7,98,3704,redank
00:10.01,2,bQwJE2BmrlurnIihNdeNC0uUJW7,98,5408,Σα¹²мακσ您
00:10.08,3,bQwJE2BmrlurnIihNdeNC0uUJW7,98,4183,ヅČƏβ/Ļӛ Ǧ工ĝăÑтĒ乌ҨǜҾSσĈίαL
00:10.20,4,bQwJE2BmrlurnIihNdeNC0uUJW7,98,3219,๓ไƒ¡ll¡pp_
00:10.23,5,bQwJE2BmrlurnIihNdeNC0uUJW7,98,8407,ңя ױ jarck.
00:10.28,6,bQwJE2BmrlurnIihNdeNC0uUJW7,98,120,мѕι mo
00:10.28,7,bQwJE2BmrlurnIihNdeNC0uUJW7,98,1013,Louffy.
00:10.30,8,bQwJE2BmrlurnIihNdeNC0uUJW7,98,863,ηЬ » Gyrule_ « т³
00:10.34,9,bQwJE2BmrlurnIihNdeNC0uUJW7,98,542,ѕĸγ»МіǤ«ғฟ๏
00:10.36,10,bQwJE2BmrlurnIihNdeNC0uUJW7,98,1174,Нтм.Nad!
00:06.32,1,UAEGL6taXPIqj4VDJ4RctqXgKB,99,42,aeैq«т³
00:06.34,2,UAEGL6taXPIqj4VDJ4RctqXgKB,99,542,ѕĸγ»МіǤ«ғฟ๏
00:06.39,3,UAEGL6taXPIqj4VDJ4RctqXgKB,99,943,ehkla.
00:06.40,4,UAEGL6taXPIqj4VDJ4RctqXgKB,99,4183,ヅČƏβ/Ļӛ Ǧ工ĝăÑтĒ乌ҨǜҾSσĈίαL
00:06.42,5,UAEGL6taXPIqj4VDJ4RctqXgKB,99,57,i
00:06.43,6,UAEGL6taXPIqj4VDJ4RctqXgKB,99,336,»ғฟ๏« Ŀιиκ.* Law
00:06.46,7,UAEGL6taXPIqj4VDJ4RctqXgKB,99,2904,NoPro»Skyer03
00:02.76,4,CWRRVe5w__beKqr6rdOPceCS3Jl,1,542,ѕĸγ»МіǤ«ғฟ๏
00:07.33,6,4Uc9amVvuCJTNR9d9PVxHniI4Nl,6,608,a
00:07.33,7,4Uc9amVvuCJTNR9d9PVxHniI4Nl,6,1769,Šoucra!«
00:07.33,8,4Uc9amVvuCJTNR9d9PVxHniI4Nl,6,8415,िα๓² » уσυנιॅ
00:07.36,9,4Uc9amVvuCJTNR9d9PVxHniI4Nl,6,2319,ңя ױ vega
00:07.36,10,4Uc9amVvuCJTNR9d9PVxHniI4Nl,6,3546,Eмßαท « т³
00:12.58,1,co2mxB6AHbbM6iTuq7CvO3k44sg,7,542,ѕĸγ»МіǤ«ғฟ๏
00:06.82,2,GA3xCbiB5P3OArt376aw_nS1Jdg,11,8322,~़Vוטה ๋:>
00:06.47,8,UAEGL6taXPIqj4VDJ4RctqXgKB,99,43,ѕκy²oumol_«_т³
00:06.47,9,UAEGL6taXPIqj4VDJ4RctqXgKB,99,3704,redank
00:06.50,10,UAEGL6taXPIqj4VDJ4RctqXgKB,99,1797,ױρאωєя.т³
00:15.59,1,sMWX8lW8Hzyv_X7fTGNAetxQp7j,100,336,»ғฟ๏« Ŀιиκ.* Law
00:15.97,2,sMWX8lW8Hzyv_X7fTGNAetxQp7j,100,450,ImminentOmelet58
00:16.22,3,sMWX8lW8Hzyv_X7fTGNAetxQp7j,100,4183,ヅČƏβ/Ļӛ Ǧ工ĝăÑтĒ乌ҨǜҾSσĈίαL
00:16.42,4,sMWX8lW8Hzyv_X7fTGNAetxQp7j,100,1798,byoš
00:16.53,5,sMWX8lW8Hzyv_X7fTGNAetxQp7j,100,2448,nonick
00:16.55,6,sMWX8lW8Hzyv_X7fTGNAetxQp7j,100,43,ѕκy²oumol_«_т³
00:16.57,7,sMWX8lW8Hzyv_X7fTGNAetxQp7j,100,282,¬  Šĸуяџŋŋ ッ «
00:17.73,8,sMWX8lW8Hzyv_X7fTGNAetxQp7j,100,1950,// fey « т³ //
00:17.76,9,sMWX8lW8Hzyv_X7fTGNAetxQp7j,100,608,a
00:17.80,10,sMWX8lW8Hzyv_X7fTGNAetxQp7j,100,3704,redank
00:18.01,1,XV9dfco9NvAcuQGR8A9LX1vgDBf,101,608,a
00:18.20,2,XV9dfco9NvAcuQGR8A9LX1vgDBf,101,120,мѕι mo
00:18.36,3,XV9dfco9NvAcuQGR8A9LX1vgDBf,101,552,Fmc
00:18.56,4,XV9dfco9NvAcuQGR8A9LX1vgDBf,101,1127,Acer Spedrun
00:18.59,5,XV9dfco9NvAcuQGR8A9LX1vgDBf,101,1977," ғฟ๏, LeG | Plast"
00:18.64,6,XV9dfco9NvAcuQGR8A9LX1vgDBf,101,745,my queen greta
00:18.66,7,XV9dfco9NvAcuQGR8A9LX1vgDBf,101,1677,Eddy!
00:18.69,8,XV9dfco9NvAcuQGR8A9LX1vgDBf,101,975,ѕκγ. flex
00:18.72,9,XV9dfco9NvAcuQGR8A9LX1vgDBf,101,43,ѕκy²oumol_«_т³
00:18.81,10,XV9dfco9NvAcuQGR8A9LX1vgDBf,101,835,Ŀĸя ¬Dvorky* ॢ
00:18.12,1,5rPLu58I_RdYTd6GAHqBfJ6ExSg,102,3704,redank
00:18.18,2,5rPLu58I_RdYTd6GAHqBfJ6ExSg,102,2206,Luukasa123
00:18.75,3,5rPLu58I_RdYTd6GAHqBfJ6ExSg,102,43,ѕκy²oumol_«_т³
00:19.14,4,5rPLu58I_RdYTd6GAHqBfJ6ExSg,102,1390,betta
00:19.19,5,5rPLu58I_RdYTd6GAHqBfJ6ExSg,102,2514,shen
00:19.22,6,5rPLu58I_RdYTd6GAHqBfJ6ExSg,102,608,a
00:19.23,7,5rPLu58I_RdYTd6GAHqBfJ6ExSg,102,987,Law¬rowy
00:19.41,8,5rPLu58I_RdYTd6GAHqBfJ6ExSg,102,494,kamel
00:19.44,9,5rPLu58I_RdYTd6GAHqBfJ6ExSg,102,512,nexos
00:19.45,10,5rPLu58I_RdYTd6GAHqBfJ6ExSg,102,3092,hev
00:17.23,1,cUEDSXQEn0J5qy9Q_Y2f_LR5B34,103,1820,",-¨.´Ѕρα¢є´.¨-,"
00:17.79,2,cUEDSXQEn0J5qy9Q_Y2f_LR5B34,103,494,kamel
00:22.13,3,cUEDSXQEn0J5qy9Q_Y2f_LR5B34,103,2468,_
00:22.20,4,cUEDSXQEn0J5qy9Q_Y2f_LR5B34,103,336,»ғฟ๏« Ŀιиκ.* Law
00:22.67,5,cUEDSXQEn0J5qy9Q_Y2f_LR5B34,103,889,Ғαмоυѕ.Poufi॰сав
00:23.55,6,cUEDSXQEn0J5qy9Q_Y2f_LR5B34,103,120,мѕι mo
00:24.07,7,cUEDSXQEn0J5qy9Q_Y2f_LR5B34,103,31,ғฟ๏.ins
00:24.77,8,cUEDSXQEn0J5qy9Q_Y2f_LR5B34,103,187,хеяох.
00:25.33,9,cUEDSXQEn0J5qy9Q_Y2f_LR5B34,103,3704,redank
00:25.61,10,cUEDSXQEn0J5qy9Q_Y2f_LR5B34,103,957,〔 niati 〕
00:13.10,1,g7V6KU4yIT5M5juAjvyFhObO1_8,104,1635,Нтм. HYDROLOG
00:13.12,2,g7V6KU4yIT5M5juAjvyFhObO1_8,104,8816,εωפ»ғәĿ«๓ђ〆ļนск
00:13.15,3,g7V6KU4yIT5M5juAjvyFhObO1_8,104,1556,mab
00:13.21,4,g7V6KU4yIT5M5juAjvyFhObO1_8,104,542,ѕĸγ»МіǤ«ғฟ๏
00:13.26,5,g7V6KU4yIT5M5juAjvyFhObO1_8,104,2904,NoPro»Skyer03
00:13.27,6,g7V6KU4yIT5M5juAjvyFhObO1_8,104,2137,Sehoszpu
00:13.28,7,g7V6KU4yIT5M5juAjvyFhObO1_8,104,5,nixion
00:13.28,8,g7V6KU4yIT5M5juAjvyFhObO1_8,104,6310,иםс¬SoftIvory.
00:13.34,9,g7V6KU4yIT5M5juAjvyFhObO1_8,104,2873,웃laser웃
00:13.63,10,g7V6KU4yIT5M5juAjvyFhObO1_8,104,8881,ฬคтт ζ patty
00:11.06,1,eml_jExbWDkXwNaZiVuxZNZ7otc,105,3165,ғяσैѕѕ
00:11.09,2,eml_jExbWDkXwNaZiVuxZNZ7otc,105,608,a
00:11.18,3,eml_jExbWDkXwNaZiVuxZNZ7otc,105,120,мѕι mo
00:11.19,4,eml_jExbWDkXwNaZiVuxZNZ7otc,105,1600,сав ¬ nellike
00:11.20,5,eml_jExbWDkXwNaZiVuxZNZ7otc,105,542,ѕĸγ»МіǤ«ғฟ๏
00:11.20,6,eml_jExbWDkXwNaZiVuxZNZ7otc,105,1174,Нтм.Nad!
00:11.21,7,eml_jExbWDkXwNaZiVuxZNZ7otc,105,5274,VictorPro123
00:11.21,8,eml_jExbWDkXwNaZiVuxZNZ7otc,105,5511,Hystr
00:11.21,9,eml_jExbWDkXwNaZiVuxZNZ7otc,105,552,Fmc
00:11.21,10,eml_jExbWDkXwNaZiVuxZNZ7otc,105,889,Ғαмоυѕ.Poufi॰сав
00:07.69,1,TyDFJMLCjUthtwixpD_1FkgEqzl,106,1237,MINA
00:07.70,2,TyDFJMLCjUthtwixpD_1FkgEqzl,106,7494,racehans.STIHL<3
00:07.73,3,TyDFJMLCjUthtwixpD_1FkgEqzl,106,2484,Roa〆
00:07.74,4,TyDFJMLCjUthtwixpD_1FkgEqzl,106,5408,Σα¹²мακσ您
00:07.76,5,TyDFJMLCjUthtwixpD_1FkgEqzl,106,2006,nejcig
00:07.77,6,TyDFJMLCjUthtwixpD_1FkgEqzl,106,940,ѕтυρŀίик
00:07.77,7,TyDFJMLCjUthtwixpD_1FkgEqzl,106,8259,ĊĦ » trav
00:07.80,8,TyDFJMLCjUthtwixpD_1FkgEqzl,106,2189,Jamzy « т³
00:07.82,9,TyDFJMLCjUthtwixpD_1FkgEqzl,106,1551,ML¬ I'm happy <3
00:12.91,2,co2mxB6AHbbM6iTuq7CvO3k44sg,7,300,Tres « т³
00:13.10,3,co2mxB6AHbbM6iTuq7CvO3k44sg,7,1025,arthy.
00:13.16,4,co2mxB6AHbbM6iTuq7CvO3k44sg,7,3704,redank
00:13.16,5,co2mxB6AHbbM6iTuq7CvO3k44sg,7,8322,~़Vוטה ๋:>
00:07.83,10,TyDFJMLCjUthtwixpD_1FkgEqzl,106,987,Law¬rowy
00:11.42,1,fQx0pRIws8h6qg81Xr3IsM07J30,107,6207,мэפаснолк
00:11.47,2,fQx0pRIws8h6qg81Xr3IsM07J30,107,7517,Bor
00:11.64,3,fQx0pRIws8h6qg81Xr3IsM07J30,107,3760,еяаメjewlians_96(real) ๓ไ
00:11.65,4,fQx0pRIws8h6qg81Xr3IsM07J30,107,3704,redank
00:11.68,5,fQx0pRIws8h6qg81Xr3IsM07J30,107,1,gargı
00:11.74,6,fQx0pRIws8h6qg81Xr3IsM07J30,107,7431,ฬคтт ζ Удהפдмεг
00:11.74,7,fQx0pRIws8h6qg81Xr3IsM07J30,107,1038,װ єгση װ
00:11.75,8,fQx0pRIws8h6qg81Xr3IsM07J30,107,1582,mitrug
00:11.77,9,fQx0pRIws8h6qg81Xr3IsM07J30,107,4183,ヅČƏβ/Ļӛ Ǧ工ĝăÑтĒ乌ҨǜҾSσĈίαL
00:11.80,10,fQx0pRIws8h6qg81Xr3IsM07J30,107,863,ηЬ » Gyrule_ « т³
00:06.88,1,uccCONKAMEpm4m1AIomVVVc2IL6,108,1174,Нтм.Nad!
00:06.96,2,uccCONKAMEpm4m1AIomVVVc2IL6,108,450,ImminentOmelet58
00:07.00,3,uccCONKAMEpm4m1AIomVVVc2IL6,108,7581,Kares
00:07.07,4,uccCONKAMEpm4m1AIomVVVc2IL6,108,8322,~़Vוטה ๋:>
00:07.13,5,uccCONKAMEpm4m1AIomVVVc2IL6,108,336,»ғฟ๏« Ŀιиκ.* Law
00:07.13,6,uccCONKAMEpm4m1AIomVVVc2IL6,108,8037,akif713
00:07.14,7,uccCONKAMEpm4m1AIomVVVc2IL6,108,542,ѕĸγ»МіǤ«ғฟ๏
00:07.14,8,uccCONKAMEpm4m1AIomVVVc2IL6,108,1797,ױρאωєя.т³
00:07.14,9,uccCONKAMEpm4m1AIomVVVc2IL6,108,8323,CarroT
00:07.15,10,uccCONKAMEpm4m1AIomVVVc2IL6,108,3704,redank
00:08.63,1,BMB7NsKb7fTah3ksBuSkcNAOEle,109,120,мѕι mo
00:08.74,2,BMB7NsKb7fTah3ksBuSkcNAOEle,109,2037,иםс¬duelerkeon :3
00:08.75,3,BMB7NsKb7fTah3ksBuSkcNAOEle,109,5408,Σα¹²мακσ您
00:08.88,4,BMB7NsKb7fTah3ksBuSkcNAOEle,109,3704,redank
00:08.93,5,BMB7NsKb7fTah3ksBuSkcNAOEle,109,2448,nonick
00:08.97,6,BMB7NsKb7fTah3ksBuSkcNAOEle,109,5329,мιкєηZe
00:09.02,7,BMB7NsKb7fTah3ksBuSkcNAOEle,109,43,ѕκy²oumol_«_т³
00:09.04,8,BMB7NsKb7fTah3ksBuSkcNAOEle,109,3165,ғяσैѕѕ
00:09.09,9,BMB7NsKb7fTah3ksBuSkcNAOEle,109,1977," ғฟ๏, LeG | Plast"
00:09.10,10,BMB7NsKb7fTah3ksBuSkcNAOEle,109,2553,Unknown >.<
00:12.11,1,FoHydYzFp8YbzoRZ9Ia5LZru7j2,110,974,Thomas
00:12.27,2,FoHydYzFp8YbzoRZ9Ia5LZru7j2,110,542,ѕĸγ»МіǤ«ғฟ๏
00:12.27,3,FoHydYzFp8YbzoRZ9Ia5LZru7j2,110,2468,_
00:12.38,4,FoHydYzFp8YbzoRZ9Ia5LZru7j2,110,1977," ғฟ๏, LeG | Plast"
00:12.83,5,FoHydYzFp8YbzoRZ9Ia5LZru7j2,110,2393,ĊĦ Bob
00:13.11,6,FoHydYzFp8YbzoRZ9Ia5LZru7j2,110,3704,redank
00:13.11,7,FoHydYzFp8YbzoRZ9Ia5LZru7j2,110,336,»ғฟ๏« Ŀιиκ.* Law
00:13.21,8,FoHydYzFp8YbzoRZ9Ia5LZru7j2,110,390,wikos2
00:13.29,9,FoHydYzFp8YbzoRZ9Ia5LZru7j2,110,957,〔 niati 〕
00:13.69,10,FoHydYzFp8YbzoRZ9Ia5LZru7j2,110,2011,ि७
00:16.14,1,Z3OYnYROaFOX1JM8Vh00ANRSnFc,111,3219,๓ไƒ¡ll¡pp_
00:16.54,2,Z3OYnYROaFOX1JM8Vh00ANRSnFc,111,5585,mind
00:16.71,3,Z3OYnYROaFOX1JM8Vh00ANRSnFc,111,960,cptsalmon
00:16.84,4,Z3OYnYROaFOX1JM8Vh00ANRSnFc,111,31,ғฟ๏.ins
00:17.09,5,Z3OYnYROaFOX1JM8Vh00ANRSnFc,111,43,ѕκy²oumol_«_т³
00:17.25,6,Z3OYnYROaFOX1JM8Vh00ANRSnFc,111,542,ѕĸγ»МіǤ«ғฟ๏
00:17.30,7,Z3OYnYROaFOX1JM8Vh00ANRSnFc,111,4183,ヅČƏβ/Ļӛ Ǧ工ĝăÑтĒ乌ҨǜҾSσĈίαL
00:17.50,8,Z3OYnYROaFOX1JM8Vh00ANRSnFc,111,101,Hèिést
00:17.50,9,Z3OYnYROaFOX1JM8Vh00ANRSnFc,111,3165,ғяσैѕѕ
00:17.61,10,Z3OYnYROaFOX1JM8Vh00ANRSnFc,111,7153,HELM /  Toucan
00:16.90,1,7bZvMDZCbTO4ouRmFnSqGyfmUOf,112,1798,byoš
00:18.56,2,7bZvMDZCbTO4ouRmFnSqGyfmUOf,112,31,ғฟ๏.ins
00:19.69,3,7bZvMDZCbTO4ouRmFnSqGyfmUOf,112,1396,Lemon :) ᄓ boosт³
00:20.06,4,7bZvMDZCbTO4ouRmFnSqGyfmUOf,112,1727,buzzy.
00:20.38,5,7bZvMDZCbTO4ouRmFnSqGyfmUOf,112,450,ImminentOmelet58
00:20.48,6,7bZvMDZCbTO4ouRmFnSqGyfmUOf,112,1324,reasᄓnn
00:24.75,7,7bZvMDZCbTO4ouRmFnSqGyfmUOf,112,4183,ヅČƏβ/Ļӛ Ǧ工ĝăÑтĒ乌ҨǜҾSσĈίαL
00:25.00,8,7bZvMDZCbTO4ouRmFnSqGyfmUOf,112,1797,ױρאωєя.т³
00:25.27,9,7bZvMDZCbTO4ouRmFnSqGyfmUOf,112,8807,NicolasVaittanen
00:25.34,10,7bZvMDZCbTO4ouRmFnSqGyfmUOf,112,120,мѕι mo
00:11.14,1,7PkyDVltrlyjTvty6QBZkYQTrG7,113,542,ѕĸγ»МіǤ«ғฟ๏
00:11.15,2,7PkyDVltrlyjTvty6QBZkYQTrG7,113,494,kamel
00:11.18,3,7PkyDVltrlyjTvty6QBZkYQTrG7,113,336,»ғฟ๏« Ŀιиκ.* Law
